CORINE-code     value
211.0000    10923643
212.0000    19089724
213.0000     8710483
214.0000           0
215.0000           0
216.0000           0
217.0000           0
218.0000           0
219.0000           0
220.0000           0
221.0000           0
222.0000     1249056
223.0000        7223
224.0000           0
225.0000           0
226.0000           0
227.0000           0
228.0000           0
229.0000           0
230.0000           0
231.0000           0
232.0000      521451
233.0000           0
234.0000           0
235.0000           0
236.0000           0
237.0000           0
238.0000           0
239.0000           0
240.0000           0
241.0000           0
242.0000           0
243.0000      154027
243.0000       46609
